source_id,target_id,score
H4WA04104,S4AK00214,782
S4AK00214,H4WA04104,782
H8TX23121,H8NC09123,126
H8NC09123,H8TX23121,126
P00009423,P00009621,123
P00009621,P00009423,123
H8NC09123,P00009621,118
P00009621,H8NC09123,118
P00009621,P60007168,106
P60007168,P00009621,106
P00010298,P00009423,88
P00009423,P00010298,88
P00009621,P00010298,74
P00010298,P00009621,74
P00009423,H8NC09123,72
H8NC09123,P00009423,72
H8NC09123,P00010298,66
P00010298,H8NC09123,66
H8NC09123,S0AZ00350,62
S0AZ00350,H8NC09123,62
H8ME02185,H8NC09123,58
H8NC09123,H8ME02185,58
H4WA04104,H0LA01087,55
H0LA01087,H4WA04104,55
P80000722,H8NC09123,54
H8NC09123,P80000722,54
P00009183,P60007168,51
P60007168,P00009183,51
H0LA01087,S4AK00214,44
S4AK00214,H0LA01087,44
S8AZ00221,H4WA04104,35
H4WA04104,S8AZ00221,35
H8CO06229,H8NC09123,34
H8NC09123,H8CO06229,34
S8AZ00221,H0NC09187,32
H0NC09187,S8AZ00221,32
S4AK00214,S8AZ00221,32
S8AZ00221,S4AK00214,32
H8NC09123,S0SC00289,30
H8NC09123,S0NM00058,30
S0SC00289,H8NC09123,30
S0NM00058,H8NC09123,30
P60007168,H8NC09123,28
H8NC09123,P80006117,28
P00010298,P80006117,28
H8CA45130,H8NC09123,28
P80006117,H8NC09123,28
H8NC09123,H8CA45130,28
H8NC09123,P60007168,28
P80006117,P00010298,28
P80000722,P00009423,26
P00009423,P80000722,26
H8NC09123,P00010454,26
P00010454,H8NC09123,26
H8NC09123,H0NC03248,24
H0NC03248,H8NC09123,24
H0NC09187,H4WA04104,22
H0LA01087,H0NC09187,22
S0AL00156,H8NC09123,22
H4WA04104,H0NC09187,22
H0NC09187,H0LA01087,22
H0CA27085,H8NC09123,22
H8ME02185,H8TX23121,22
H8NC09123,S0AL00156,22
H8NC09123,H0CA27085,22
H8TX23121,H8ME02185,22
P00009795,P00009423,21
H6OH04082,H0NC09187,21
P80006117,P00009423,21
H4WA04104,H6FL18097,21
P00009423,P00009795,21
H0NC09187,H6OH04082,21
P00009423,P80006117,21
H6FL18097,H4WA04104,21
H6GA05217,H8NC09123,20
P00009092,H8NC09123,20
H8VA07094,H8NC09123,20
H8NC09123,H6GA05217,20
H8NC09123,P00009092,20
H8NC09123,H8VA07094,20
P00009092,P00010298,19
H0LA01087,S8AZ00221,19
P80006117,P00009621,19
P00009621,P80006117,19
S8AZ00221,H0LA01087,19
H0NC09187,S4AK00214,19
P00010298,P00009092,19
H4WA04104,H6OH04082,19
S4AK00214,H0NC09187,19
H6OH04082,H4WA04104,19
P00009092,P00009423,18
H8NC09123,P00010793,18
P00009795,P00009621,18
