full_name,nick_name
AL,ALBERT
AL,BERT
AL,ALEX
AL,AL
CY,CY
CY,CYRUS
EB,EB
EB,EBBIE
ED,EDDIE
ED,ED
ED,EDDY
ABE,ABE
ABE,ABRAM
ABE,ABRAHAM
ADA,ADDY
ADA,ADA
ANN,NANNY
ANN,NANA
ANN,NAN
ANN,ANN
ANN,NANCY
ANN,ANNIE
ARA,ARA
ARA,BELLE
ARA,ARRY
ART,ARTHUR
ART,ART
BAB,BARBY
BAB,BAB
BEA,BEA
BEA,BEATRICE
BEN,BENJAMIN
BEN,BEN
BEN,BENNIE
BOB,ROBERT
BOB,BOB
BOB,ROB
CAL,CAL
CAL,CALVIN
CON,CONNY
CON,CON
DAL,DAHL
DAL,DAL
DAN,DAN
DAN,DANNY
DAN,DANIEL
DEB,DEBORAH
DEB,DEB
DEB,DEBRA
DON,DON
DON,DONALD
DOT,DOTTY
DOT,DOT
EVA,EVE
EVA,EVA
FLO,FLORENCE
FLO,FLO
GIL,GIL
GIL,GILBERT
GUM,MONTY
GUM,GUM
GUS,GUS
GUS,GUSSIE
IAN,JOHN
IAN,IAN
IVA,IVY
IVA,IVA
JEB,JEB
JEB,JEBADIAH
JIM,JIMMIE
JIM,JIM
JOE,JOSEPH
JOE,JOEY
JOE,JOE
JON,JOHN
JON,JON
JON,NATHAN
KEN,KENNETH
KEN,KEN
KIM,KIMBERLY
KIM,KIMBERLEY
KIM,KIM
KIT,KIT
KIT,KITTIE
LEO,LEON
LEO,LEO
LES,LESTER
LES,LES
LIB,LIB
LIB,LIBBY
LIL,LIL
LIL,LILLY
LIL,LILY
LIZ,LIZ
LIZ,ELIZABETH
LON,LON
LON,LONZO
LOU,LOUIS
LOU,LU
LOU,LOU
MAC,MC
MAC,MAC
MAT,MATTIE
MAT,MAT
MAY,MAY
MAY,MAE
NIK,NICK
NIK,NIK
PAT,PAT
PAT,PATRICK
PAT,PATRICIA
PEG,PEGGY
PEG,PEG
RAY,RAY
RAY,RAYMOND
REG,REG
REG,REGGIE
RON,RONNIE
RON,RONALD
RON,RONNY
RON,RON
ROZ,ROZ
ROZ,ROSALYN
SAM,SAMUEL
SAM,SAM
SAM,SAMMY
SLY,SLY
SLY,SYLVESTER
SUE,SUSAN
SUE,SUE
SUE,SUSIE
TED,TED
TED,TEDDY
TIM,TIM
TIM,TIMMY
TIM,TIMOTHY
TOM,TOM
TOM,THOMAS
TOM,TOMMY
VIC,VIC
VIC,VICTOR
VIC,VICKY
VIC,VICKI
VIN,VIN
VIN,VINNY
ABEL,ABEL
ABEL,ABE
ABEL,AB
ABEL,EB
ABEL,EBBIE
ADAM,ADAM
ADAM,ADE
ADAM,EDIE
ADDY,ADDY
ADDY,ADELE
ALAN,AL
ALAN,ALAN
ALDO,AL
ALDO,ALDO
ALEX,ALEXANDRA
ALEX,ALEXANDER
ALEX,ALEX
AMOS,MOSES
AMOS,AMOS
ANDY,ANDREW
ANDY,ANDY
ANDY,DREW
ANNA,ANNIE
ANNA,ANNA
ANNA,ANNE
ANNA,ANN
ANNE,NANCY
ANNE,ANN
ANNE,ANNE
ANNE,NAN
ANNE,NANA
ANNE,ANNIE
ANNE,NANNY
BABS,BARBY
BABS,BAB
BABS,BABS
BABS,BARBARA
BART,BARTHOLOMEW
BART,BART
BECK,BECK
BECK,BECKY
BERT,BERT
BERT,BOBBY
BERT,BERTIE
BERT,BOB
BESS,BESS
BESS,BESSIE
BETH,BETH
BETH,BETTY
BETH,BETSY
BETH,ELIZABETH
BILL,WILLIAM
BILL,BILLY
BILL,WILLIE
BILL,ROBERT
BILL,BILL
BILL,FRED
BRAD,BRADFORD
BRAD,FORD
BRAD,BRAD
CHER,SHER
CHER,CHER
CHET,CHESTER
CHET,CHET
COLE,COLE
COLE,COLIE
CORY,REE
CORY,CORDY
CORY,CORY
CORY,COCO
CURT,CURT
CURT,CURTIS
DAVE,DAVE
DAVE,DAVID
DELL,DELLA
DELL,DELL
DICK,DICK
DICK,RICK
DICK,RICHARD
DREW,DREW
DREW,ANDREW
EDNA,EDNA
EDNA,EDNY
ELLA,ELLEN
ELLA,ELLA
ELZE,ELSEY
ELZE,ELZE
EMIL,EMILY
EMIL,EMIL
EMMA,EMMY
EMMA,EMMA
ERIC,ERIC
ERIC,RICKY
ERIC,RICK
ESSY,ESSY
ESSY,ES
EZRA,EZ
EZRA,EZRA
FRAN,FRANNIE
FRAN,FRAN
FRED,FRED
FRED,FREDERICK
FRED,FREDDY
GABE,GABRIEL
GABE,GABE
GERT,GERT
GERT,GERTIE
GWEN,GWEN
GWEN,GWENDOLYN
GWEN,WENDY
HERB,HERBERT
HERB,HERB
INEZ,AGNES
INEZ,INEZ
IONA,IONA
IONA,ONNIE
IVAN,IVAN
IVAN,JOHN
JANE,JENNIE
JANE,JANIE
JANE,JESSIE
JANE,JEAN
JANE,JANE
JEAN,JEANNIE
JEAN,JANE
JEAN,JEAN
JEFF,JEFF
JEFF,GEOFFREY
JEFF,JEFFREY
JEHU,HUGH
JEHU,GEE
JEHU,JEHU
JOAN,JOAN
JOAN,NONIE
JOAN,JO
JODY,JO
JODY,JODY
JOEY,JOEY
JOEY,JOSEPH
JOHN,JOHNNY
JOHN,JOCK
JOHN,JACK
JOHN,JOHN
JOSH,JOSHUA
JOSH,JOSH
JUDY,JUDY
JUDY,JUDITH
JUNE,JUNE
JUNE,JUNIUS
KATE,KATE
KATE,KAY
KATY,KATHY
KATY,KATY
KENT,KENT
KENT,KENNY
KENT,KENDRICK
KENT,KEN
KRIS,KRIS
KRIS,CHRIS
LENA,ELLEN
LENA,LENA
LEVI,LEE
LEVI,LEVI
LISA,LIZZIE
LISA,LIZ
LISA,MELISSA
LISA,LISA
LISA,ALICE
LOIS,LOUISE
LOIS,LOU
LOIS,LOIS
LUCY,LUCINDA
LUCY,LUCY
LUKE,LUKE
LUKE,LUCAS
MACK,MACK
