id,candidate_name,party,candidate_office
C00012229,YOUNG, DONALD E,REP,H
C00027466,SULLIVAN, DAN,REP,S
C00041269,EDWARDS, CHET,DEM,H
C00068353,LEAHY, PATRICK J,DEM,S
C00075820,NEWHOUSE, DAN,REP,H
C00096412,SMITH, CHRISTOPHER H,REP,H
C00116632,ROGERS, HAROLD DALLAS,REP,H
C00140715,HOYER, STENY,DEM,H
C00143743,CORNYN, JOHN SEN,REP,S
C00148999,DURBIN, RICHARD J,DEM,S
C00154625,KAPTUR, MARCY HON.,DEM,H
C00166504,VISCLOSKY, PETER J.,DEM,H
C00167585,WATERS, MAXINE,DEM,H
C00172619,DAVIS, DANNY K,DEM,H
C00193342,MCCONNELL, MITCH,REP,S
C00195628,PRICE, DAVID E.,DEM,H
C00196774,MARKEY, EDWARD J. SEN.,DEM,S
C00200584,UPTON, FREDERICK STEPHEN,REP,H
C00202416,LEWIS, JOHN R,DEM,H
C00207993,INHOFE, JAMES M. SEN.,REP,S
C00213512,PELOSI, NANCY,DEM,H
C00215905,DEFAZIO, PETER A,DEM,H
C00219881,LOWEY, NITA M,DEM,H
C00226522,NEAL, RICHARD E MR.,DEM,H
C00226928,PALLONE, FRANK JR,DEM,H
C00230482,GRASSLEY, CHARLES E ,REP,S
C00236513,ENGEL, ELIOT L.,DEM,H
C00238865,DELAURO, ROSA L,DEM,H
C00238907,REED, JOHN F.,DEM,S
C00253187,PETERSON, COLLIN CLARK,DEM,H
C00255562,CLYBURN, JAMES E.,DEM,H
C00256925,SCOTT, ROBERT C,DEM,H
C00257121,RUSH, BOBBY LEE,DEM,H
C00257337,CALVERT, KEN,REP,H
C00257642,MURRAY, PATTY,DEM,S
C00258475,ESHOO, ANNA G,DEM,H
C00258855,SHIMKUS, JOHN M,REP,H
C00259143,ROYBAL-ALLARD, LUCILLE,DEM,H
C00264564,MENENDEZ, ROBERT,DEM,S
C00264697,BROWN, SHERROD,DEM,S
C00266940,BISHOP, SANFORD,DEM,H
C00269837,HASTINGS, ALCEE L,DEM,H
C00271312,VELAZQUEZ, NYDIA M.,DEM,H
C00273169,MALONEY, CAROLYN B.,DEM,H
C00279851,THOMPSON, BENNIE G.,DEM,H
C00285171,MCGOVERN, JAMES P. MR.,DEM,H
C00286187,THORNBERRY, MAC,REP,H
C00286500,DOGGETT, LLOYD,DEM,H
C00287904,LEE, SHEILA JACKSON,DEM,H
C00287912,LUCAS, FRANK D.,REP,H
C00289603,LOFGREN, ZOE,DEM,H
C00290064,DOYLE, MICHAEL,DEM,H
C00290825,NADLER, JERROLD L.,DEM,H
C00301838,CHABOT, STEVE,REP,H
